File,aid,Date,0,1,2,4,5,6
QA_2019190_aid0001,aid0001,2019-07-09,8873.0,3965.0,79166.0,15313,8554,507784
QA_2019191_aid0001,aid0001,2019-07-10,6347.0,1533.0,3878.0,17791,9026,585080
QA_2019192_aid0001,aid0001,2019-07-11,10513.0,1120.0,12530.0,13670,10381,575441
QA_2019193_aid0001,aid0001,2019-07-12,7163.0,879.0,7269.0,17127,14473,576744
QA_2019194_aid0001,aid0001,2019-07-13,9799.0,706.0,13709.0,14417,14134,570890
QA_2019195_aid0001,aid0001,2019-07-14,12148.0,1576.0,11139.0,12019,11013,575760
QA_2019196_aid0001,aid0001,2019-07-15,6097.0,1724.0,16841.0,18065,8416,572512
QA_2019197_aid0001,aid0001,2019-07-16,7606.0,1434.0,5022.0,16718,9944,582931
QA_2019198_aid0001,aid0001,2019-07-17,6331.0,919.0,2066.0,17996,13262,583081
QA_2019199_aid0001,aid0001,2019-07-18,4191.0,258.0,3384.0,20104,15291,580427
QA_2019200_aid0001,aid0001,2019-07-19,7602.0,990.0,12986.0,16601,11947,573529
QA_2019201_aid0001,aid0001,2019-07-20,6998.0,1059.0,4009.0,17178,9526,584885
QA_2019202_aid0001,aid0001,2019-07-21,11099.0,3960.0,9806.0,13091,7332,578367
QA_2019203_aid0001,aid0001,2019-07-22,9359.0,1146.0,46618.0,14804,11825,539903
QA_2019204_aid0001,aid0001,2019-07-23,5563.0,2319.0,93144.0,18715,13440,490474
QA_2019205_aid0001,aid0001,2019-07-24,1339.0,904.0,87724.0,22945,12666,498077
QA_2019206_aid0001,aid0001,2019-07-25,12752.0,5010.0,185735.0,11489,7115,401554
QA_2019207_aid0001,aid0001,2019-07-26,10702.0,3074.0,13904.0,13491,7930,574554
QA_2019208_aid0001,aid0001,2019-07-27,6721.0,480.0,1387.0,17514,11014,586539
QA_2019209_aid0001,aid0001,2019-07-28,8489.0,620.0,11536.0,15778,14790,572442
QA_2019210_aid0001,aid0001,2019-07-29,4515.0,1004.0,16552.0,19737,13713,568134
QA_2019211_aid0001,aid0001,2019-07-30,3209.0,625.0,15168.0,21070,11890,571693
QA_2019212_aid0001,aid0001,2019-07-31,7114.0,844.0,4650.0,17058,9577,584412
QA_2019213_aid0001,aid0001,2019-08-01,8143.0,1123.0,2206.0,16066,10306,585811
QA_2019214_aid0001,aid0001,2019-08-02,5082.0,274.0,1219.0,19192,13993,583895
QA_2019215_aid0001,aid0001,2019-08-03,4914.0,483.0,13198.0,19382,15142,570536
QA_2019216_aid0001,aid0001,2019-08-04,8401.0,838.0,9577.0,15731,12144,576964
QA_2019217_aid0001,aid0001,2019-08-05,14335.0,7152.0,99600.0,9846,4246,488476
QA_2019218_aid0001,aid0001,2019-08-06,12046.0,3750.0,64045.0,12116,8433,523265
QA_2019219_aid0001,aid0001,2019-08-07,9442.0,2763.0,69414.0,14792,10125,517119
QA_2019220_aid0001,aid0001,2019-08-08,3344.0,557.0,24597.0,20954,15105,559098
QA_2019221_aid0001,aid0001,2019-08-09,6515.0,4850.0,42333.0,17825,9777,542355
QA_2019222_aid0001,aid0001,2019-08-10,7511.0,3407.0,84442.0,16634,9051,502610
QA_2019223_aid0001,aid0001,2019-08-11,6871.0,453.0,3251.0,17308,9828,585944
QA_2019224_aid0001,aid0001,2019-08-12,6345.0,261.0,759.0,17849,11186,587255
QA_2019225_aid0001,aid0001,2019-08-13,4666.0,34.0,650.0,19589,15366,583350
QA_2019226_aid0001,aid0001,2019-08-14,4965.0,46.0,1837.0,19299,14674,582834
QA_2019227_aid0001,aid0001,2019-08-15,4743.0,87.0,3981.0,19501,12308,583035
QA_2019228_aid0001,aid0001,2019-08-16,8728.0,505.0,2879.0,15463,9682,586398
QA_2019229_aid0001,aid0001,2019-08-17,11555.0,1300.0,3745.0,12614,10245,584196
QA_2019230_aid0001,aid0001,2019-08-18,7063.0,1205.0,11927.0,17236,12960,573264
QA_2019231_aid0001,aid0001,2019-08-19,5493.0,876.0,7989.0,18793,14684,575820
QA_2019232_aid0001,aid0001,2019-08-20,2533.0,622.0,11956.0,21654,12381,574509
QA_2019233_aid0001,aid0001,2019-08-21,4525.0,4102.0,69250.0,19669,7234,518875
QA_2019234_aid0001,aid0001,2019-08-22,7483.0,1321.0,2610.0,16735,9942,585564
QA_2019235_aid0001,aid0001,2019-08-23,5123.0,345.0,1391.0,19028,12665,585103
QA_2019236_aid0001,aid0001,2019-08-24,5329.0,73.0,1825.0,18995,15584,581849
QA_2019237_aid0001,aid0001,2019-08-25,6796.0,196.0,4280.0,17401,13394,581588
QA_2019238_aid0001,aid0001,2019-08-26,9841.0,992.0,14218.0,14380,10841,573383
QA_2019239_aid0001,aid0001,2019-08-27,10031.0,1026.0,4054.0,14222,9227,585095
QA_2019240_aid0001,aid0001,2019-08-28,13803.0,3687.0,15256.0,10364,7971,572574
QA_2019241_aid0001,aid0001,2019-08-29,1815.0,629.0,13945.0,22480,14718,570068
QA_2019242_aid0001,aid0001,2019-08-30,2568.0,117.0,1908.0,21693,14612,582757
QA_2019243_aid0001,aid0001,2019-08-31,2338.0,54.0,3474.0,21886,12285,583618
QA_2019244_aid0001,aid0001,2019-09-01,10068.0,528.0,9005.0,14062,9572,580420
QA_2019245_aid0001,aid0001,2019-09-02,9713.0,1851.0,39206.0,14528,9630,548727
QA_2019246_aid0001,aid0001,2019-09-03,2151.0,765.0,15090.0,22171,13390,570088
QA_2019247_aid0001,aid0001,2019-09-04,6742.0,2249.0,65526.0,17453,13418,518267
QA_2019248_aid0001,aid0001,2019-09-05,4683.0,3943.0,119729.0,19523,9301,466476
QA_2019249_aid0001,aid0001,2019-09-06,5687.0,491.0,11958.0,18487,10182,576850
QA_2019250_aid0001,aid0001,2019-09-07,7469.0,6544.0,86908.0,16762,5284,500688
QA_2019251_aid0001,aid0001,2019-09-08,1637.0,445.0,4303.0,22616,12357,582297
QA_2019252_aid0001,aid0001,2019-09-09,1889.0,1145.0,32419.0,22394,14532,551276
QA_2019253_aid0001,aid0001,2019-09-10,2170.0,2174.0,59485.0,22025,11557,526244
QA_2019254_aid0001,aid0001,2019-09-11,2453.0,343.0,3918.0,21748,11293,583900
QA_2019255_aid0001,aid0001,2019-09-12,1605.0,89.0,2973.0,22641,10191,586156
QA_2019256_aid0001,aid0001,2019-09-13,1286.0,152.0,813.0,23004,11295,587105
QA_2019257_aid0001,aid0001,2019-09-14,1413.0,59.0,1447.0,22886,15432,582418
QA_2019258_aid0001,aid0001,2019-09-15,10120.0,3284.0,105715.0,14148,11453,478935
QA_2019259_aid0001,aid0001,2019-09-16,7078.0,4511.0,143862.0,17133,9145,441926
QA_2019260_aid0001,aid0001,2019-09-17,4443.0,2542.0,52206.0,19699,7845,536920
QA_2019261_aid0001,aid0001,2019-09-18,7675.0,5590.0,98384.0,16579,6382,489045
QA_2019262_aid0001,aid0001,2019-09-19,1313.0,1266.0,47769.0,22974,13366,536967
QA_2019263_aid0001,aid0001,2019-09-20,954.0,947.0,17370.0,23341,14577,566466
QA_2019264_aid0001,aid0001,2019-09-21,490.0,27.0,3405.0,23758,12913,583062
QA_2019265_aid0001,aid0001,2019-09-22,12566.0,6801.0,180062.0,11633,4432,408161
QA_2019266_aid0001,aid0001,2019-09-23,5957.0,817.0,8891.0,18186,10445,579359
QA_2019267_aid0001,aid0001,2019-09-24,2298.0,195.0,811.0,21939,12719,585693
QA_2019268_aid0001,aid0001,2019-09-25,3088.0,761.0,61659.0,21181,14967,521999
QA_2019269_aid0001,aid0001,2019-09-26,10841.0,2174.0,69394.0,13347,11474,516425
QA_2019270_aid0001,aid0001,2019-09-27,14389.0,5167.0,95649.0,9794,6901,491755
QA_2019271_aid0001,aid0001,2019-09-28,8128.0,5024.0,100709.0,16127,5669,487998
QA_2019272_aid0001,aid0001,2019-09-29,5248.0,4480.0,117019.0,18953,7709,470246
QA_2019273_aid0001,aid0001,2019-09-30,328.0,1136.0,44092.0,23949,14541,539609
QA_2019274_aid0001,aid0001,2019-10-01,387.0,187.0,5016.0,23847,14623,579595
QA_2019275_aid0001,aid0001,2019-10-02,2168.0,813.0,19093.0,22056,11729,567796
QA_2019276_aid0001,aid0001,2019-10-03,2229.0,1417.0,5092.0,21939,9083,583895
QA_2019277_aid0001,aid0001,2019-10-04,1784.0,799.0,2873.0,22522,10537,585140
QA_2019278_aid0001,aid0001,2019-10-05,561.0,101.0,707.0,23670,14199,584417
QA_2019279_aid0001,aid0001,2019-10-06,728.0,200.0,3956.0,23524,15293,579954
QA_2019280_aid0001,aid0001,2019-10-07,3880.0,2032.0,14165.0,20429,11028,572121
QA_2019281_aid0001,aid0001,2019-10-08,10802.0,5243.0,21330.0,13385,5721,567174
QA_2019282_aid0001,aid0001,2019-10-09,4935.0,528.0,2154.0,19303,10533,586202
QA_2019283_aid0001,aid0001,2019-10-10,638.0,176.0,1419.0,23577,12677,585168
QA_2019284_aid0001,aid0001,2019-10-11,914.0,350.0,4827.0,23392,15289,578883
QA_2019285_aid0001,aid0001,2019-10-12,1336.0,403.0,6487.0,22888,13257,579284
QA_2019286_aid0001,aid0001,2019-10-13,4595.0,2873.0,9618.0,19629,8862,578078
QA_2019287_aid0001,aid0001,2019-10-14,4903.0,996.0,3436.0,19346,9212,585762
QA_2019288_aid0001,aid0001,2019-10-15,5560.0,3460.0,51048.0,18738,8167,536682
QA_2019289_aid0001,aid0001,2019-10-16,16889.0,8798.0,252338.0,7459,6734,331437
QA_2019290_aid0001,aid0001,2019-10-17,1674.0,1488.0,41539.0,22568,13494,542892
QA_2019291_aid0001,aid0001,2019-10-18,5442.0,2451.0,21992.0,18831,10131,564808
QA_2019292_aid0001,aid0001,2019-10-19,7905.0,6038.0,125252.0,16308,5041,463111
