,Date,LST,County_FIP
26,2020-12-21,293.03318398395055,053
84,2020-12-22,287.48053765566317,053
142,2020-12-23,283.86089743589747,053
200,2020-12-24,287.6160534614807,053
258,2020-12-25,288.9641996025612,053
316,2020-12-26,285.922310817674,053
374,2020-12-27,287.34784232868407,053
432,2020-12-28,283.7346129180027,053
490,2020-12-29,284.25237936772044,053
548,2020-12-30,285.48566491567595,053
606,2020-12-31,283.98983204478805,053
27,2020-12-21,288.2257229524772,055
85,2020-12-22,285.94397753551374,055
143,2020-12-23,287.69344359907376,055
201,2020-12-24,282.8765536723164,055
259,2020-12-25,277.43333333333334,055
317,2020-12-26,284.7808326029799,055
375,2020-12-27,277.7,055
433,2020-12-28,283.4430473905219,055
491,2020-12-29,284.6343893591294,055
549,2020-12-30,286.1326228967337,055
607,2020-12-31,283.80059259259264,055
28,2020-12-21,282.28831543096675,057
86,2020-12-22,279.1323700811054,057
144,2020-12-23,278.9651674136568,057
202,2020-12-24,,057
260,2020-12-25,269.10771704180064,057
318,2020-12-26,275.42743243243245,057
376,2020-12-27,,057
434,2020-12-28,271.8601974766868,057
492,2020-12-29,276.22087101248263,057
550,2020-12-30,277.7299081605878,057
608,2020-12-31,274.57603036876355,057
29,2020-12-21,299.6673566433567,059
87,2020-12-22,295.2722314049587,059
145,2020-12-23,,059
203,2020-12-24,,059
261,2020-12-25,296.3142407277817,059
319,2020-12-26,288.6776084099869,059
377,2020-12-27,,059
435,2020-12-28,287.95028532608694,059
493,2020-12-29,289.3000223380492,059
551,2020-12-30,290.6564701064701,059
609,2020-12-31,290.3386739726028,059
30,2020-12-21,282.56696981575857,061
88,2020-12-22,279.1421529609206,061
146,2020-12-23,278.95823697515937,061
204,2020-12-24,277.3395588235294,061
262,2020-12-25,268.47943661971834,061
320,2020-12-26,281.3209192825112,061
378,2020-12-27,,061
436,2020-12-28,271.7659340659341,061
494,2020-12-29,276.6154957983194,061
552,2020-12-30,279.02705617198336,061
610,2020-12-31,274.8376044568245,061
31,2020-12-21,277.08323064284247,063
89,2020-12-22,274.01060667477367,063
147,2020-12-23,272.3272274017025,063
205,2020-12-24,272.78796536796534,063
263,2020-12-25,272.9928433476395,063
321,2020-12-26,268.22379746835446,063
379,2020-12-27,,063
437,2020-12-28,270.9965416502171,063
495,2020-12-29,269.7158002270147,063
553,2020-12-30,273.1466149870801,063
611,2020-12-31,270.0080088917117,063
32,2020-12-21,297.7328563342013,065
90,2020-12-22,295.5266318184018,065
148,2020-12-23,290.35590640764195,065
206,2020-12-24,,065
264,2020-12-25,293.9708784551307,065
322,2020-12-26,288.9304347826087,065
380,2020-12-27,294.8634305504922,065
438,2020-12-28,288.3723712721993,065
496,2020-12-29,288.9699772906335,065
554,2020-12-30,289.13982790130973,065
612,2020-12-31,286.17749862561845,065
33,2020-12-21,285.77290102389077,067
91,2020-12-22,284.28801932367156,067
149,2020-12-23,284.4251022222222,067
207,2020-12-24,278.60745762711866,067
265,2020-12-25,278.02071428571423,067
323,2020-12-26,286.33415192507806,067
