NDVI,LST,TA,Class
0.389091556,306.0145594,5,No_fire
0.387981022,307.8397508,5,No_fire
0.386870487,308.328283,5,Fire
0.386765575,308.8168152,5,No_fire
0.386660663,311.8331822,5,No_fire
0.38655575,307.6852975,5,No_fire
0.386450838,312.0792984,5,No_fire
0.386345925,305.7596903,5,No_fire
0.386241013,306.2462567,5,No_fire
0.386136101,310.3422756,5,No_fire
0.386031188,305.6871627,5,No_fire
0.385926276,312.4776708,5,No_fire
0.385821363,311.5076617,5,No_fire
0.385716451,312.7719039,5,No_fire
0.385611539,316.6577986,5,No_fire
0.385506626,310.9170762,5,No_fire
0.385401714,309.821213,5,No_fire
0.385296801,310.9457046,5,No_fire
0.385191889,316.1950905,5,No_fire
0.384734136,308.0895863,5,No_fire
0.384276383,309.0543099,5,No_fire
0.38381863,307.1364229,5,No_fire
0.383360878,310.2438359,5,No_fire
0.382903125,307.7802041,5,No_fire
0.382445372,311.9671681,5,No_fire
0.381987619,311.3573413,5,No_fire
0.381529866,312.2598328,5,No_fire
0.381072114,313.1623242,5,No_fire
0.380614361,305.0619282,5,No_fire
0.380156608,307.3421095,5,No_fire
0.379698855,304.457793,9,No_fire
0.379241102,307.6048744,5,No_fire
0.378783349,309.5901199,5,No_fire
0.378325597,305.5214599,5,No_fire
0.377867844,315.6008876,5,No_fire
0.377949559,316.6494859,5,No_fire
0.378031274,319.1461585,5,No_fire
0.37811299,310.7426728,5,No_fire
0.378194705,310.6252612,5,No_fire
0.37827642,307.4134373,5,No_fire
0.378358135,306.9758797,5,No_fire
0.37843985,306.0323542,5,No_fire
0.378521566,309.722371,5,Fire
0.378603281,313.4123878,5,No_fire
0.378684996,297.7539063,5,No_fire
0.378766711,311.2883834,5,No_fire
0.378848427,308.4802713,5,No_fire
0.378930142,314.2121755,5,No_fire
0.379011857,309.6846148,5,No_fire
0.379093572,307.3096625,5,No_fire
0.379175287,306.9850594,5,No_fire
0.379222459,304.5160298,5,No_fire
0.37926963,313.9944716,5,Fire
0.379316801,310.8749104,5,No_fire
0.379363972,311.8201131,5,Fire
0.379411143,306.6614038,5,No_fire
0.379458315,310.9206711,5,No_fire
0.379505486,305.5581371,5,No_fire
0.379552657,304.0813305,5,No_fire
0.379599828,300.4677778,5,No_fire
0.379646999,301.7855718,5,No_fire
0.37969417,307.1767156,5,No_fire
0.379741342,301.7290035,5,No_fire
0.379788513,308.2870508,5,No_fire
0.379835684,310.4463534,5,No_fire
0.379882855,312.1203786,5,No_fire
0.379930026,313.7944039,5,No_fire
0.379654293,307.3361698,5,No_fire
0.379378559,300.8779357,5,No_fire
0.379102825,302.133595,5,No_fire
0.378827091,297.3057576,5,No_fire
0.378551357,302.5909886,5,No_fire
0.378275623,305.6831076,5,No_fire
0.377999889,308.2074305,5,No_fire
0.377724156,304.2377998,5,No_fire
0.377448422,306.6566704,5,No_fire
0.377172688,307.0470807,5,No_fire
0.376896954,307.7525584,5,No_fire
0.37662122,302.5985296,5,No_fire
0.376345486,303.3112021,5,No_fire
0.376069752,298.877664,5,No_fire
0.375794018,298.7004016,5,No_fire
0.375518285,298.0610957,5,No_fire
0.375192812,298.0096472,9,No_fire
0.37486734,304.192012,5,No_fire
0.374541868,299.8558872,5,No_fire
0.374216396,301.8437873,5,No_fire
0.373890924,302.904556,5,No_fire
0.373565452,305.5595006,5,No_fire
0.373239979,307.619503,5,No_fire
0.372914507,305.8074421,5,Fire
0.372589035,301.8460211,5,No_fire
0.372263563,296.1037477,5,No_fire
0.371938091,302.743121,5,No_fire
0.371612619,302.178958,5,No_fire
0.371287146,302.7858549,5,No_fire
